MATCH CE05BA86 after generation 864 (57210 ms, 66 ms/gen)
MATCH A8185EC5 after generation 714 (47324 ms, 66 ms/gen)
MATCH C37842E7 after generation 381 (25280 ms, 66 ms/gen)
MATCH C642E226 after generation 1234 (81722 ms, 66 ms/gen)
MATCH 7E1D8405 after generation 173 (11515 ms, 66 ms/gen)
MATCH 402B6B47 after generation 364 (24160 ms, 66 ms/gen)
MATCH D3FC1807 after generation 458 (30377 ms, 66 ms/gen)
MATCH 81CD2A85 after generation 220 (14629 ms, 66 ms/gen)
MATCH A4C1D6C7 after generation 925 (61281 ms, 66 ms/gen)
MATCH 5D631064 after generation 928 (61482 ms, 66 ms/gen)
MATCH 79B25447 after generation 1109 (73446 ms, 66 ms/gen)
MATCH 95C9E245 after generation 813 (53866 ms, 66 ms/gen)
MATCH 5908B426 after generation 1982 (131221 ms, 66 ms/gen)
MATCH 524B46C4 after generation 255 (16944 ms, 66 ms/gen)
MATCH CB7DF6E7 after generation 410 (27195 ms, 66 ms/gen)
MATCH 252C3E44 after generation 121 (8074 ms, 66 ms/gen)
MATCH 50EF3EA4 after generation 578 (38318 ms, 66 ms/gen)
MATCH DEE6DC45 after generation 1340 (88750 ms, 66 ms/gen)
MATCH F417BBE6 after generation 458 (30375 ms, 66 ms/gen)
MATCH 7406C304 after generation 738 (48894 ms, 66 ms/gen)
MATCH 8B5D7847 after generation 368 (24415 ms, 66 ms/gen)
MATCH 9D421D46 after generation 732 (48499 ms, 66 ms/gen)
MATCH F6836A26 after generation 594 (39376 ms, 66 ms/gen)
MATCH A5AA2AE6 after generation 271 (18006 ms, 66 ms/gen)
MATCH FF48D406 after generation 2163 (143185 ms, 66 ms/gen)
MATCH A89FDE26 after generation 770 (51026 ms, 66 ms/gen)
MATCH 87C347 after generation 1287 (90726 ms, 70 ms/gen)
MATCH 66F4C345 after generation 327 (23112 ms, 70 ms/gen)
MATCH 3BAAB906 after generation 1315 (92727 ms, 70 ms/gen)
MATCH 7D74BC5 after generation 1772 (124929 ms, 70 ms/gen)
MATCH 54CB4185 after generation 1246 (87861 ms, 70 ms/gen)
MATCH 466955E4 after generation 349 (24661 ms, 70 ms/gen)
MATCH 789E69A4 after generation 417 (29454 ms, 70 ms/gen)
MATCH 5AA097C4 after generation 620 (41058 ms, 66 ms/gen)
MATCH 81C14EE5 after generation 820 (54335 ms, 66 ms/gen)
MATCH C70C6585 after generation 256 (17012 ms, 66 ms/gen)
MATCH C6EE37A4 after generation 696 (46134 ms, 66 ms/gen)
MATCH DFFE37C6 after generation 822 (54474 ms, 66 ms/gen)
MATCH C294A125 after generation 552 (36600 ms, 66 ms/gen)
MATCH 9C328A45 after generation 411 (27268 ms, 66 ms/gen)
MATCH F8BB6105 after generation 420 (27855 ms, 66 ms/gen)
MATCH 823B43A6 after generation 350 (23226 ms, 66 ms/gen)
MATCH 4F065A46 after generation 232 (15419 ms, 66 ms/gen)
MATCH 7866165 after generation 464 (30769 ms, 66 ms/gen)
MATCH 277D66A4 after generation 1177 (77971 ms, 66 ms/gen)
MATCH AB752FC4 after generation 767 (50821 ms, 66 ms/gen)
MATCH AA72C127 after generation 617 (40904 ms, 66 ms/gen)
MATCH 3D615887 after generation 500 (33144 ms, 66 ms/gen)
MATCH DE1E82E6 after generation 276 (18333 ms, 66 ms/gen)
MATCH A5ADC284 after generation 448 (29716 ms, 66 ms/gen)
MATCH 59F90FE4 after generation 404 (26804 ms, 66 ms/gen)
MATCH 6A374B66 after generation 485 (32163 ms, 66 ms/gen)
MATCH A065D285 after generation 454 (30110 ms, 66 ms/gen)
MATCH E45A8F66 after generation 795 (52663 ms, 66 ms/gen)
MATCH CB321726 after generation 944 (62535 ms, 66 ms/gen)
MATCH 34975E07 after generation 154 (10262 ms, 66 ms/gen)
MATCH D2132624 after generation 1211 (80189 ms, 66 ms/gen)
MATCH A85E1507 after generation 1008 (66777 ms, 66 ms/gen)
MATCH 8883FF66 after generation 395 (26215 ms, 66 ms/gen)
MATCH FD3B55E4 after generation 384 (25479 ms, 66 ms/gen)
MATCH CD4F6AE4 after generation 581 (38508 ms, 66 ms/gen)
MATCH D42999E4 after generation 420 (27859 ms, 66 ms/gen)
MATCH 3FCD1244 after generation 2055 (136052 ms, 66 ms/gen)
MATCH 11F1ACC4 after generation 233 (15489 ms, 66 ms/gen)
MATCH 1D43B6E6 after generation 979 (64857 ms, 66 ms/gen)
MATCH 662A0BC6 after generation 768 (50888 ms, 66 ms/gen)
